# JMH version: 1.21
# VM version: JDK 1.8.0_121, Java HotSpot(TM) 64-Bit Server VM, 25.121-b13
# VM invoker: /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=64349:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime
# Parameters: (html = )

# Run progress: 0.00% complete, ETA 00:38:30
# Fork: 1 of 1
objc[13930]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java (0x10dbf94c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10ebe64e0). One of the two will be used. Which one is undefined.
# Warmup Iteration   1: 15.331 ms/op
# Warmup Iteration   2: 6.385 ms/op
# Warmup Iteration   3: 2.311 ms/op
# Warmup Iteration   4: 0.645 ms/op
# Warmup Iteration   5: 0.629 ms/op
Result "com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime":
  0.618 ±(99.9%) 0.010 ms/op [Average]
  (min, avg, max) = (0.584, 0.618, 0.710), stdev = 0.031
  CI (99.9%): [0.608, 0.629] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_121, Java HotSpot(TM) 64-Bit Server VM, 25.121-b13
# VM invoker: /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=64349:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime
# Parameters: (html = <p>2</p>)

# Run progress: 9.09% complete, ETA 00:35:40
# Fork: 1 of 1
objc[14061]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java (0x101f624c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x102f844e0). One of the two will be used. Which one is undefined.
# Warmup Iteration   1: 4.490 ms/op
# Warmup Iteration   2: 1.076 ms/op
# Warmup Iteration   3: 0.649 ms/op
# Warmup Iteration   4: 0.711 ms/op
# Warmup Iteration   5: 0.678 ms/op
Iteration   1: 0.741 ms/op
Iteration   2: 0.699 ms/op
Iteration   3: 0.618 ms/op
Iteration   4: 0.654 ms/op
Iteration   5: 0.693 ms/op
Iteration   6: 0.648 ms/op
Iteration   7: 0.634 ms/op
Iteration   8: 0.716 ms/op
Iteration   9: 0.653 ms/op
Iteration  10: 0.596 ms/op
Iteration  11: 0.577 ms/op
Iteration  12: 0.580 ms/op
Iteration  13: 0.577 ms/op
Iteration  14: 0.709 ms/op
Iteration  15: 0.630 ms/op
Iteration  16: 0.594 ms/op
Iteration  17: 0.621 ms/op
Iteration  18: 0.632 ms/op
Iteration  19: 0.652 ms/op
Iteration  20: 0.596 ms/op
Iteration  21: 0.735 ms/op
Iteration  22: 0.626 ms/op
Iteration  23: 0.624 ms/op
Iteration  24: 0.747 ms/op
Iteration  25: 0.692 ms/op
Iteration  26: 0.735 ms/op
Iteration  27: 0.698 ms/op
Iteration  28: 0.612 ms/op
Iteration  29: 0.625 ms/op
Iteration  30: 0.626 ms/op
Iteration  31: 0.626 ms/op
Iteration  32: 0.636 ms/op
Iteration  33: 0.700 ms/op
Iteration  34: 0.632 ms/op
Iteration  35: 0.641 ms/op
Iteration  36: 0.640 ms/op
Iteration  37: 0.605 ms/op
Iteration  38: 0.613 ms/op
Iteration  39: 0.640 ms/op
Iteration  40: 0.707 ms/op
Iteration  41: 0.660 ms/op
Iteration  42: 0.712 ms/op
Iteration  43: 0.628 ms/op
Iteration  44: 0.620 ms/op
Iteration  45: 0.610 ms/op
Iteration  46: 0.611 ms/op
Iteration  47: 0.611 ms/op
Iteration  48: 0.615 ms/op
Iteration  49: 0.613 ms/op
Iteration  50: 0.611 ms/op
Iteration  51: 0.622 ms/op
Iteration  52: 0.630 ms/op
Iteration  53: 0.654 ms/op
Iteration  54: 0.628 ms/op
Iteration  55: 0.620 ms/op
Iteration  56: 0.634 ms/op
Iteration  57: 0.619 ms/op
Iteration  58: 0.674 ms/op
Iteration  59: 0.655 ms/op
Iteration  60: 0.772 ms/op
Iteration  61: 0.684 ms/op
Iteration  62: 0.666 ms/op
Iteration  63: 0.625 ms/op
Iteration  64: 0.642 ms/op
Iteration  65: 0.703 ms/op
Iteration  66: 0.717 ms/op
Iteration  67: 0.719 ms/op
Iteration  68: 0.718 ms/op
Iteration  69: 0.613 ms/op
Iteration  70: 0.653 ms/op
Iteration  71: 0.606 ms/op
Iteration  72: 0.693 ms/op
Iteration  73: 0.607 ms/op
Iteration  74: 0.585 ms/op
Iteration  75: 0.587 ms/op
Iteration  76: 0.600 ms/op
Iteration  77: 0.608 ms/op
Iteration  78: 0.587 ms/op
Iteration  79: 0.588 ms/op
Iteration  80: 0.623 ms/op
Iteration  81: 0.681 ms/op
Iteration  82: 0.588 ms/op
Iteration  83: 0.580 ms/op
Iteration  84: 0.579 ms/op
Iteration  85: 0.576 ms/op
Iteration  86: 0.576 ms/op
Iteration  87: 0.579 ms/op
Iteration  88: 0.593 ms/op
Iteration  89: 0.579 ms/op
Iteration  90: 0.597 ms/op
Iteration  91: 0.584 ms/op
Iteration  92: 0.581 ms/op
Iteration  93: 0.577 ms/op
Iteration  94: 0.578 ms/op
Iteration  95: 0.577 ms/op
Iteration  96: 0.595 ms/op
Iteration  97: 0.607 ms/op
Iteration  98: 0.597 ms/op
Iteration  99: 0.628 ms/op
Iteration 100: 0.670 ms/op


Result "com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime":
  0.635 ±(99.9%) 0.016 ms/op [Average]
  (min, avg, max) = (0.576, 0.635, 0.772), stdev = 0.048
  CI (99.9%): [0.619, 0.651] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_121, Java HotSpot(TM) 64-Bit Server VM, 25.121-b13
# VM invoker: /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=64349:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime
# Parameters: (html = <p>3</p>)

# Run progress: 13.64% complete, ETA 00:34:04
# Fork: 1 of 1
objc[14074]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java (0x10bd2e4c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10bdae4e0). One of the two will be used. Which one is undefined.
# Warmup Iteration   1: 2.797 ms/op
# Warmup Iteration   2: 0.804 ms/op
# Warmup Iteration   3: 0.586 ms/op
# Warmup Iteration   4: 0.579 ms/op
# Warmup Iteration   5: 0.576 ms/op
Iteration   1: 0.582 ms/op
Iteration   2: 0.578 ms/op
Iteration   3: 0.578 ms/op
Iteration   4: 0.586 ms/op
Iteration   5: 0.587 ms/op
Iteration   6: 0.585 ms/op
Iteration   7: 0.581 ms/op
Iteration   8: 0.584 ms/op
Iteration   9: 0.582 ms/op
Iteration  10: 0.581 ms/op
Iteration  11: 0.584 ms/op
Iteration  12: 0.583 ms/op
Iteration  13: 0.582 ms/op
Iteration  14: 0.584 ms/op
Iteration  15: 0.582 ms/op
Iteration  16: 0.583 ms/op
Iteration  17: 0.584 ms/op
Iteration  18: 0.585 ms/op
Iteration  19: 0.584 ms/op
Iteration  20: 0.595 ms/op
Iteration  21: 0.587 ms/op
Iteration  22: 0.592 ms/op
Iteration  23: 0.585 ms/op
Iteration  24: 0.595 ms/op
Iteration  25: 0.611 ms/op
Iteration  26: 0.623 ms/op
Iteration  27: 0.628 ms/op
Iteration  28: 0.587 ms/op
Iteration  29: 0.591 ms/op
Iteration  30: 0.606 ms/op
Iteration  31: 0.633 ms/op
Iteration  32: 0.611 ms/op
Iteration  33: 0.609 ms/op
Iteration  34: 0.636 ms/op
Iteration  35: 0.608 ms/op
Iteration  36: 0.592 ms/op
Iteration  37: 0.664 ms/op
Iteration  38: 0.677 ms/op
Iteration  39: 0.601 ms/op
Iteration  40: 0.614 ms/op
Iteration  41: 0.666 ms/op
Iteration  42: 0.673 ms/op
Iteration  43: 0.750 ms/op
Iteration  44: 0.593 ms/op
Iteration  45: 0.588 ms/op
Iteration  46: 0.595 ms/op
Iteration  47: 0.592 ms/op
Iteration  48: 0.585 ms/op
Iteration  49: 0.584 ms/op
Iteration  50: 0.589 ms/op
Iteration  51: 0.590 ms/op
Iteration  52: 0.586 ms/op
Iteration  53: 0.587 ms/op
Iteration  54: 0.583 ms/op
Iteration  55: 0.585 ms/op
Iteration  56: 0.584 ms/op
Iteration  57: 0.588 ms/op
Iteration  58: 0.583 ms/op
Iteration  59: 0.585 ms/op
Iteration  60: 0.584 ms/op
Iteration  61: 0.587 ms/op
Iteration  62: 0.588 ms/op
Iteration  63: 0.583 ms/op
Iteration  64: 0.582 ms/op
Iteration  65: 0.588 ms/op
Iteration  66: 0.584 ms/op
Iteration  67: 0.583 ms/op
Iteration  68: 0.582 ms/op
Iteration  69: 0.582 ms/op
Iteration  70: 0.581 ms/op
Iteration  71: 0.586 ms/op
Iteration  72: 0.584 ms/op
Iteration  73: 0.589 ms/op
Iteration  74: 0.582 ms/op
Iteration  75: 0.585 ms/op
Iteration  76: 0.582 ms/op
Iteration  77: 0.582 ms/op
Iteration  78: 0.586 ms/op
